original_subject,aligned_subject,subject_type,original_predicate,aligned_predicate,original_object,aligned_object,object_type,confidence,domain_similarity,source,example_sentence
pectoralis major,pectoralis major,Muscle,flex,flexes,shoulder,shoulder,Joint,0.631,0.808,strongerbyscience_bench_press.html,"Because of that, the pecs and the triceps can work synergistically at both the elbow and shoulder; the pecs help the triceps extend the elbow, and the triceps help the pecs horizontally flex the shoulder."
triceps,triceps,Muscle,extend,extends,elbow,elbow,Joint,0.631,0.808,strongerbyscience_bench_press.html,"Because of that, the pecs and the triceps can work synergistically at both the elbow and shoulder; the pecs help the triceps extend the elbow, and the triceps help the pecs horizontally flex the shoulder."
eccentric phase,eccentric phase,BiomechanicalConcept,require,requires,less shoulder horizontal abduction,less shoulder horizontal abduction,Joint,0.545,0.746,nasm_bench_press.html,"In addition, this position may be less aggravating for people with a history of shoulder pain because the eccentric phase requires less shoulder horizontal abduction and places a greater emphasis on sagittal plane shoulder extension."
technique,technique,DomainEntity,negate_of,negate_of,shoulder flexion demands,shoulder flexion demands,Joint,0.537,0.741,strongerbyscience_bench_press.html,"It IS true that this technique effectively negates the vast majority of shoulder flexion demands, but it also increases range of motion and increases your risk of shoulder injury (that much horizontal flexion while in internal rotation is a good recipe for AC joint impingement)."
total force vector,total force vector,BiomechanicalConcept,influence,influences,moments,moments,BiomechanicalConcept,0.532,0.737,frontiersin_bench_press.html,This means that the total force vector could influence the moments around the elbow from flexion to an extension moment.
muscle fibers,muscle fibers,Muscle,produce,produces,most force,most force,BiomechanicalConcept,0.525,0.732,strongerbyscience_bench_press.html,"Muscle fibers themselves produce the most force when they’re around resting length, and their capacity to produce force increases or decreases as they lengthen or shorten (red curve below)."
muscles,muscles,Muscle,produce,produces,large enough internal extensor moments,large enough internal extensor moments,BiomechanicalConcept,0.525,0.732,strongerbyscience_bench_press.html,The two factors that determine whether your muscles can produce large enough internal extensor moments to lift a load are the attachment points of the muscles and the force with which they can contract. -
motion,motion,DomainEntity,limit_of,reduces,powerful sternoclavicular portion,powerful sternoclavicular portion,BiomechanicalConcept,0.518,0.727,nasm_bench_press.html,"In other words, an individual will have to use a lighter weight because this motion limits activation of the powerful sternoclavicular portion of the pectoralis muscle."
internal moment arm,internal moment arm,BiomechanicalConcept,involve_with,involves,joint angles,joint angles,Joint,0.514,0.724,strongerbyscience_bench_press.html,"To add another variable into the mix, the internal moment arm (the leverage a muscle has to pull against the bone it moves) of the muscles involved changes with joint angles as well, so not only does contractile force vary, but the ability to translate that contractile force to internal joint moments varies as well."
passive elements,passive elements,DomainEntity,produce_of,produce_of,force,force,BiomechanicalConcept,0.497,0.712,strongerbyscience_bench_press.html,"Furthermore, passive elements in the muscle – structural proteins and connective tissue – produce increasing amounts of force as a muscle lengthens as well (blue curve)."
muscles,muscles,Muscle,produce_of,produce_of,force,force,BiomechanicalConcept,0.478,0.699,strongerbyscience_bench_press.html,There’s a simple explanation: Muscles don’t produce the same amount of force over their entire range of motion.
bar,bar,Equipment,impose,impose,elbow extensor moment,elbow extensor moment,Joint,0.449,0.678,strongerbyscience_bench_press.html,"Furthermore, since they don’t allow (or at least encourage) the same degree of horizontal forces, this will help us see how the lift can still be challenging for your triceps while the bar is imposing an elbow extensor moment, and it’ll also help us understand why you can bench more than you can dumbbell bench (it’s not just a matter of stability)."
current muscle mass,current muscle mass,Muscle,produce,produces,more force,more force,BiomechanicalConcept,0.443,0.673,strongerbyscience_bench_press.html,There are only two ways to do that: a) increase your skill as a bencher so your current muscle mass can produce more force during the movement and b) add more muscle!
force,force,BiomechanicalConcept,need,need,little further explanation,little further explanation,DomainEntity,0.436,0.669,robertson_bench_press.html,"Force needs a little further explanation: Force = Mass x Acceleration Mass is essentially the weight on the bar, and acceleration is how fast you are moving the bar (remember, this is a generalization, used to prove a point)."
only factor,only factor,DomainEntity,increase,increases,contractile force,contractile force,BiomechanicalConcept,0.433,0.667,strongerbyscience_bench_press.html,"Unfortunately, you can’t change muscle attachment points, so the only factor within your control is increasing contractile force."
bar,bar,Equipment,exert_of,exert_of,force,force,BiomechanicalConcept,0.422,0.658,strongerbyscience_bench_press.html,"If you weren’t supporting the bar, it would accelerate downward at 9.8m/sec2 (due to gravity), so the bar is exerting 150kg x 9.8m/sec2 = 1470N of force upon your hands and arms."
movement pattern,movement pattern,DomainEntity,lower,lower,bar,bar,Equipment,0.608,0.863,nasm_bench_press.html,"Movement Pattern > Lower the barbell toward your chest, by flexing your elbows while maintaining scapulae retraction."
scapular retraction,scapular retraction,Joint,limit_of,reduces,scapula,scapula,Joint,0.507,0.791,nasm_bench_press.html,"Scapular retraction also limits protraction and anterior tilting of scapulae (rounding the shoulders forward) during the exercise (Duffey, 2008)."
long head,long head,DomainEntity,cross,cross,shoulder,shoulder,Joint,0.471,0.765,strongerbyscience_bench_press.html,"The other two heads only cross the elbow, while the long head also crosses the shoulder to aid in shoulder extension."
