subject,relation,object,category,max_confidence,max_domain_similarity,evidence_count,sources,example_sentence
pectoralis major,flex,shoulder,biomechanics,0.631,0.808,1,strongerbyscience_bench_press.html,"Because of that, the pecs and the triceps can work synergistically at both the elbow and shoulder; the pecs help the triceps extend the elbow, and the triceps help the pecs horizontally flex the shoulder."
triceps,extend,elbow,biomechanics,0.631,0.808,1,strongerbyscience_bench_press.html,"Because of that, the pecs and the triceps can work synergistically at both the elbow and shoulder; the pecs help the triceps extend the elbow, and the triceps help the pecs horizontally flex the shoulder."
eccentric phase,require,less shoulder horizontal abduction,biomechanics,0.545,0.746,1,nasm_bench_press.html,"In addition, this position may be less aggravating for people with a history of shoulder pain because the eccentric phase requires less shoulder horizontal abduction and places a greater emphasis on sagittal plane shoulder extension."
technique,negate_of,shoulder flexion demands,biomechanics,0.537,0.741,1,strongerbyscience_bench_press.html,"It IS true that this technique effectively negates the vast majority of shoulder flexion demands, but it also increases range of motion and increases your risk of shoulder injury (that much horizontal flexion while in internal rotation is a good recipe for AC joint impingement)."
total force vector,influence,moments,biomechanics,0.532,0.737,1,frontiersin_bench_press.html,This means that the total force vector could influence the moments around the elbow from flexion to an extension moment.
muscle fibers,produce,most force,biomechanics,0.525,0.732,1,strongerbyscience_bench_press.html,"Muscle fibers themselves produce the most force when they’re around resting length, and their capacity to produce force increases or decreases as they lengthen or shorten (red curve below)."
muscles,produce,large enough internal extensor moments,biomechanics,0.525,0.732,1,strongerbyscience_bench_press.html,The two factors that determine whether your muscles can produce large enough internal extensor moments to lift a load are the attachment points of the muscles and the force with which they can contract. -
concentric phase,encompass,entire lifting motion,biomechanics,0.524,0.732,1,mdpi_bench_press.html,"In the current work, after characterising the technical movement, it has been demonstrated that the concentric phase does not encompass the entire lifting motion (rise of the barbell)."
motion,limit_of,powerful sternoclavicular portion,biomechanics,0.518,0.727,1,nasm_bench_press.html,"In other words, an individual will have to use a lighter weight because this motion limits activation of the powerful sternoclavicular portion of the pectoralis muscle."
internal moment arm,involve_with,joint angles,biomechanics,0.514,0.724,1,strongerbyscience_bench_press.html,"To add another variable into the mix, the internal moment arm (the leverage a muscle has to pull against the bone it moves) of the muscles involved changes with joint angles as well, so not only does contractile force vary, but the ability to translate that contractile force to internal joint moments varies as well."
passive elements,produce_of,force,biomechanics,0.497,0.712,1,strongerbyscience_bench_press.html,"Furthermore, passive elements in the muscle – structural proteins and connective tissue – produce increasing amounts of force as a muscle lengthens as well (blue curve)."
muscles,produce_of,force,biomechanics,0.478,0.699,1,strongerbyscience_bench_press.html,There’s a simple explanation: Muscles don’t produce the same amount of force over their entire range of motion.
bar,impose,elbow extensor moment,biomechanics,0.449,0.678,1,strongerbyscience_bench_press.html,"Furthermore, since they don’t allow (or at least encourage) the same degree of horizontal forces, this will help us see how the lift can still be challenging for your triceps while the bar is imposing an elbow extensor moment, and it’ll also help us understand why you can bench more than you can dumbbell bench (it’s not just a matter of stability)."
current muscle mass,produce,more force,biomechanics,0.443,0.673,1,strongerbyscience_bench_press.html,There are only two ways to do that: a) increase your skill as a bencher so your current muscle mass can produce more force during the movement and b) add more muscle!
force,need,little further explanation,biomechanics,0.436,0.669,1,robertson_bench_press.html,"Force needs a little further explanation: Force = Mass x Acceleration Mass is essentially the weight on the bar, and acceleration is how fast you are moving the bar (remember, this is a generalization, used to prove a point)."
only factor,increase,contractile force,biomechanics,0.433,0.667,1,strongerbyscience_bench_press.html,"Unfortunately, you can’t change muscle attachment points, so the only factor within your control is increasing contractile force."
bar,exert_of,force,biomechanics,0.422,0.658,1,strongerbyscience_bench_press.html,"If you weren’t supporting the bar, it would accelerate downward at 9.8m/sec2 (due to gravity), so the bar is exerting 150kg x 9.8m/sec2 = 1470N of force upon your hands and arms."
movement pattern,lower,bar,domain,0.608,0.863,1,nasm_bench_press.html,"Movement Pattern > Lower the barbell toward your chest, by flexing your elbows while maintaining scapulae retraction."
scapular retraction,limit_of,scapula,domain,0.507,0.791,1,nasm_bench_press.html,"Scapular retraction also limits protraction and anterior tilting of scapulae (rounding the shoulders forward) during the exercise (Duffey, 2008)."
long head,cross,shoulder,domain,0.471,0.765,1,strongerbyscience_bench_press.html,"The other two heads only cross the elbow, while the long head also crosses the shoulder to aid in shoulder extension."
